Bus Route Number,Source Location,Destination Location,Type of Bus,Time
13A,Tiruvannamalai,Ariyalur,AC,23:05
5A,Tiruvallur,Krishnagiri,Government,23:07
75A,Coimbatore,Ariyalur,Private,12:35
60D,Tiruchirappalli,Coimbatore,Government,22:30
20B,Ramanathapuram,Karur,Express,13:19
97C,Salem,Dindigul,AC,22:28
41A,Dindigul,Hosur,Government,03:21
45C,Tiruchirappalli,Vellore,Non-AC,22:50
43A,Thanjavur,Vellore,Government,14:12
4C,Karur,Tirunelveli,Express,11:38
11C,Ariyalur,Cuddalore,AC,18:33
73B,Karur,Tiruchirappalli,Express,04:13
25C,Tiruppur,Sivakasi,Government,09:11
47D,Ariyalur,Vellore,Private,00:53
79A,Ramanathapuram,Cuddalore,AC,21:10
50C,Dindigul,Tiruvallur,Non-AC,02:28
82C,Madurai,Kanchipuram,Non-AC,14:27
99D,Karur,Sivakasi,AC,03:33
77C,Dindigul,Tiruppur,Private,16:08
51B,Ramanathapuram,Tiruvannamalai,Express,21:55
23D,Ramanathapuram,Pudukkottai,Private,08:54
54B,Salem,Erode,Government,06:13
60D,Kanchipuram,Chennai,AC,16:15
26D,Cuddalore,Coimbatore,AC,23:03
46C,Dindigul,Coimbatore,Non-AC,20:52
64D,Hosur,Pudukkottai,AC,07:10
72B,Nagapattinam,Dharmapuri,AC,21:44
2C,Karur,Ramanathapuram,Government,03:05
28D,Pudukkottai,Madurai,Government,04:40
61B,Thanjavur,Pudukkottai,Non-AC,10:36
19D,Pudukkottai,Vellore,Private,04:02
16D,Tiruppur,Ramanathapuram,Private,02:10
63A,Thoothukudi,Vellore,AC,08:50
49C,Hosur,Salem,Government,16:35
69D,Tiruvallur,Thoothukudi,Private,09:20
60D,Coimbatore,Karur,Express,01:36
87A,Madurai,Cuddalore,Non-AC,20:54
76A,Thanjavur,Pudukkottai,AC,11:39
1C,Virudhunagar,Cuddalore,Express,06:33
28A,Nagapattinam,Dindigul,Non-AC,00:41
50D,Thanjavur,Hosur,Express,23:15
22C,Salem,Vellore,Government,22:53
86B,Karur,Pudukkottai,Express,11:20
6B,Ariyalur,Dharmapuri,Government,14:47
46B,Coimbatore,Sivakasi,Private,00:43
45B,Kanchipuram,Dharmapuri,Non-AC,21:23
35D,Madurai,Vellore,AC,09:14
75C,Pudukkottai,Perambalur,Government,10:16
13A,Tiruvannamalai,Cuddalore,Private,19:12
98D,Madurai,Erode,Express,10:08
96D,Ariyalur,Nagapattinam,Non-AC,06:56
65B,Tirunelveli,Vellore,AC,00:34
89A,Tirunelveli,Tiruvannamalai,Government,05:41
68C,Dharmapuri,Tirunelveli,AC,17:27
89B,Dharmapuri,Dindigul,Non-AC,10:05
13C,Dindigul,Perambalur,Private,00:32
63A,Coimbatore,Salem,Private,00:25
42A,Perambalur,Tiruvannamalai,AC,05:40
18A,Thoothukudi,Karur,AC,10:58
71D,Krishnagiri,Ramanathapuram,Private,19:15
46D,Dharmapuri,Sivakasi,Non-AC,15:25
49C,Thanjavur,Karur,Government,14:13
14C,Erode,Ramanathapuram,AC,16:10
39C,Dharmapuri,Ariyalur,Non-AC,01:49
70A,Krishnagiri,Nagercoil,AC,17:27
62B,Erode,Nagapattinam,Government,20:07
61A,Chennai,Erode,Express,20:21
25C,Tiruppur,Chennai,Government,21:38
21D,Ariyalur,Sivakasi,Non-AC,09:13
61A,Pudukkottai,Dharmapuri,AC,07:49
65C,Vellore,Namakkal,Express,19:54
73D,Cuddalore,Vellore,AC,11:43
51C,Ariyalur,Cuddalore,Non-AC,14:42
91A,Tiruvannamalai,Sivakasi,AC,02:18
34C,Ariyalur,Thoothukudi,Non-AC,03:45
6D,Tiruvannamalai,Ariyalur,Non-AC,16:00
50C,Coimbatore,Karur,Express,14:11
11C,Sivakasi,Virudhunagar,Private,12:34
83A,Karur,Tiruchirappalli,AC,13:25
73B,Dharmapuri,Ramanathapuram,Government,17:03
31C,Thoothukudi,Tiruchirappalli,Government,04:28
77D,Perambalur,Ariyalur,Express,16:43
41B,Dharmapuri,Thanjavur,Express,06:05
41B,Vellore,Dindigul,AC,08:52
55A,Kanchipuram,Thoothukudi,Express,18:06
15A,Tiruppur,Salem,AC,21:22
49B,Tiruppur,Virudhunagar,Non-AC,22:37
21A,Ramanathapuram,Pudukkottai,Non-AC,08:41
14D,Dharmapuri,Erode,Government,13:04
80C,Perambalur,Tiruvannamalai,AC,10:11
21B,Namakkal,Vellore,Government,08:28
28D,Vellore,Pudukkottai,AC,08:41
12B,Karur,Cuddalore,Government,05:48
42C,Nagapattinam,Dharmapuri,Non-AC,05:38
53D,Sivakasi,Dindigul,Private,21:33
45C,Chennai,Cuddalore,Express,12:34
24D,Ramanathapuram,Pudukkottai,Non-AC,20:02
32B,Krishnagiri,Cuddalore,Non-AC,12:20
5A,Madurai,Vellore,Private,07:46
15B,Krishnagiri,Cuddalore,Government,08:13
62C,Hosur,Krishnagiri,Express,13:43
57C,Salem,Tiruppur,Private,23:01
47B,Dindigul,Kanchipuram,Government,15:49
71D,Thanjavur,Sivakasi,Express,19:46
34B,Thoothukudi,Virudhunagar,Government,06:12
11C,Krishnagiri,Ariyalur,Express,23:25
33A,Ariyalur,Tiruvallur,Private,18:16
83A,Tiruvannamalai,Chennai,Non-AC,09:19
91D,Thoothukudi,Erode,AC,22:35
64B,Dharmapuri,Namakkal,Non-AC,20:16
70A,Thanjavur,Nagapattinam,Private,09:24
90A,Ariyalur,Dharmapuri,Private,04:35
17A,Kanchipuram,Hosur,AC,20:58
66D,Cuddalore,Nagercoil,Express,21:29
59A,Dharmapuri,Coimbatore,Private,03:24
21B,Ariyalur,Karur,AC,11:02
79C,Cuddalore,Thoothukudi,Express,01:01
76C,Erode,Dharmapuri,Express,08:44
81A,Thoothukudi,Dindigul,AC,08:26
57A,Salem,Pudukkottai,Non-AC,17:00
12C,Thoothukudi,Perambalur,AC,03:52
88B,Tirunelveli,Coimbatore,Non-AC,21:11
28D,Virudhunagar,Salem,Government,01:35
46A,Ariyalur,Perambalur,AC,16:10
69C,Perambalur,Tiruppur,AC,05:14
95C,Krishnagiri,Tirunelveli,Non-AC,21:49
55D,Thoothukudi,Nagercoil,Government,14:00
15B,Ariyalur,Tiruvallur,AC,12:54
28C,Coimbatore,Salem,Non-AC,12:24
70C,Virudhunagar,Ariyalur,Non-AC,11:52
34A,Tiruppur,Kanchipuram,AC,08:47
48B,Karur,Virudhunagar,Non-AC,15:17
46D,Tiruppur,Karur,Express,21:50
66D,Cuddalore,Ariyalur,AC,00:38
5A,Dharmapuri,Tiruvannamalai,AC,04:06
87C,Thoothukudi,Tiruvallur,Government,21:28
84D,Ariyalur,Dindigul,Government,04:03
34A,Chennai,Pudukkottai,Private,06:22
21B,Perambalur,Karur,Government,23:52
34A,Dindigul,Dharmapuri,Non-AC,16:49
2D,Tiruvallur,Sivakasi,AC,13:39
26B,Ramanathapuram,Coimbatore,Express,10:27
33C,Tirunelveli,Thoothukudi,Private,00:19
20D,Erode,Virudhunagar,Government,14:43
13C,Ariyalur,Pudukkottai,AC,02:09
8C,Ramanathapuram,Nagercoil,AC,10:55
9B,Ariyalur,Sivakasi,Express,20:53
52C,Nagercoil,Ariyalur,Non-AC,22:05
73A,Thanjavur,Vellore,Non-AC,13:23
71D,Tiruvannamalai,Dindigul,Express,19:14
45D,Tiruvallur,Madurai,Express,07:24
87D,Dharmapuri,Ramanathapuram,AC,17:58
27B,Ariyalur,Dharmapuri,Non-AC,06:11
1B,Perambalur,Tiruvallur,Government,05:56
78D,Tirunelveli,Sivakasi,Private,13:56
56B,Dharmapuri,Nagapattinam,Express,23:44
14D,Sivakasi,Madurai,Government,03:24
10B,Nagapattinam,Thoothukudi,Private,16:06
28A,Pudukkottai,Hosur,Private,18:32
69D,Nagercoil,Vellore,Express,13:19
96B,Chennai,Erode,Private,14:08
84A,Thoothukudi,Dharmapuri,Non-AC,01:33
94D,Coimbatore,Dharmapuri,AC,20:30
34B,Madurai,Tiruvannamalai,Non-AC,18:22
23C,Thoothukudi,Nagercoil,Private,07:32
45B,Coimbatore,Dindigul,Non-AC,14:32
96B,Pudukkottai,Tirunelveli,Non-AC,17:04
58C,Thoothukudi,Sivakasi,Express,13:04
42C,Ramanathapuram,Tiruvallur,AC,05:43
63D,Erode,Dharmapuri,Private,06:40
46A,Ramanathapuram,Sivakasi,AC,17:32
82D,Tiruvannamalai,Sivakasi,AC,05:43
44B,Tirunelveli,Dindigul,Private,01:40
84D,Namakkal,Ariyalur,Non-AC,11:04
24C,Tiruppur,Dharmapuri,Non-AC,11:04
69A,Vellore,Hosur,Non-AC,00:54
52A,Dharmapuri,Cuddalore,AC,12:02
77C,Tiruvannamalai,Kanchipuram,Government,20:38
51A,Salem,Dindigul,AC,17:36
99D,Thanjavur,Ariyalur,Private,16:19
13C,Krishnagiri,Thanjavur,AC,12:17
34B,Thoothukudi,Tiruppur,Government,00:51
55B,Sivakasi,Coimbatore,Express,16:33
87A,Karur,Tiruppur,AC,00:59
63A,Kanchipuram,Cuddalore,Express,03:35
17C,Thoothukudi,Dharmapuri,Non-AC,10:34
86A,Vellore,Perambalur,Non-AC,11:52
11B,Ariyalur,Thanjavur,Non-AC,14:03
25D,Nagercoil,Karur,Private,03:58
83C,Thoothukudi,Pudukkottai,Private,01:06
49D,Perambalur,Dindigul,Government,16:28
42C,Pudukkottai,Tiruvannamalai,Non-AC,01:17
10C,Kanchipuram,Chennai,Government,08:22
72B,Vellore,Tirunelveli,Private,15:35
5D,Virudhunagar,Tiruvannamalai,AC,07:14
82C,Sivakasi,Cuddalore,Non-AC,05:46
58B,Hosur,Erode,Non-AC,11:03
83D,Krishnagiri,Coimbatore,Government,19:04
43B,Cuddalore,Krishnagiri,AC,17:20
56D,Hosur,Dharmapuri,Private,15:13
10B,Kanchipuram,Pudukkottai,Private,17:29
43B,Dharmapuri,Tiruvannamalai,Private,11:17
44C,Pudukkottai,Salem,Express,18:08
43B,Sivakasi,Tiruvannamalai,Express,23:21
8D,Nagapattinam,Tiruchirappalli,Government,09:00
58C,Dindigul,Tiruvannamalai,Private,23:04
75C,Thanjavur,Tiruvannamalai,Private,22:18
1A,Ariyalur,Karur,Non-AC,14:53
90B,Virudhunagar,Perambalur,Express,00:35
15C,Coimbatore,Thanjavur,Non-AC,14:53
39D,Ariyalur,Vellore,Private,08:45
1C,Madurai,Tiruchirappalli,Express,14:21
82C,Madurai,Coimbatore,Private,08:41
6B,Kanchipuram,Nagercoil,AC,22:06
17D,Salem,Krishnagiri,Express,22:42
28C,Dindigul,Cuddalore,Express,21:31
97A,Nagercoil,Kanchipuram,Private,05:55
72D,Ariyalur,Thanjavur,Private,01:24
96D,Sivakasi,Dindigul,Government,08:42
67A,Chennai,Salem,Private,21:52
50C,Ramanathapuram,Namakkal,Private,01:22
23C,Salem,Tiruppur,Express,10:18
22C,Tiruvannamalai,Krishnagiri,Private,01:46
24A,Madurai,Coimbatore,Non-AC,15:18
78C,Krishnagiri,Ramanathapuram,Non-AC,15:04
40A,Erode,Madurai,Private,21:14
22C,Erode,Nagapattinam,AC,02:29
86D,Tiruvallur,Ariyalur,AC,14:22
40C,Thoothukudi,Virudhunagar,AC,19:01
63D,Chennai,Karur,Express,14:36
44C,Krishnagiri,Tiruvallur,Non-AC,00:38
26C,Vellore,Namakkal,Express,07:14
62D,Tiruchirappalli,Salem,Private,17:40
31B,Ariyalur,Kanchipuram,Express,20:34
36D,Dindigul,Virudhunagar,Government,08:58
14D,Thanjavur,Vellore,Private,07:58
99B,Thanjavur,Chennai,Government,08:22
35D,Tiruppur,Coimbatore,Non-AC,00:24
59B,Madurai,Nagercoil,Government,09:28
18B,Dindigul,Hosur,AC,21:14
32B,Sivakasi,Kanchipuram,Government,22:03
88C,Ramanathapuram,Cuddalore,Express,19:10
97B,Tiruvallur,Dindigul,AC,14:40
52A,Vellore,Krishnagiri,Private,01:05
38A,Virudhunagar,Tirunelveli,Express,05:55
56C,Tiruvannamalai,Coimbatore,Private,06:50
9D,Pudukkottai,Krishnagiri,AC,04:58
51C,Krishnagiri,Tiruvallur,Non-AC,08:05
97B,Cuddalore,Salem,Non-AC,11:09
87D,Vellore,Ramanathapuram,Express,10:41
50C,Thoothukudi,Tiruchirappalli,Express,19:21
76A,Tiruchirappalli,Hosur,AC,06:27
6B,Ariyalur,Nagapattinam,Express,05:53
27A,Chennai,Dindigul,Non-AC,17:29
97B,Karur,Ramanathapuram,Non-AC,00:40
17D,Dindigul,Thoothukudi,Government,10:46
31B,Ariyalur,Thoothukudi,Non-AC,16:38
52D,Coimbatore,Erode,Non-AC,12:52
18D,Coimbatore,Namakkal,Non-AC,07:30
30C,Namakkal,Kanchipuram,Express,08:02
54A,Thanjavur,Chennai,Private,18:02
72A,Tirunelveli,Pudukkottai,AC,17:07
36C,Thoothukudi,Tirunelveli,Non-AC,05:06
25D,Tirunelveli,Sivakasi,Government,12:43
75A,Perambalur,Pudukkottai,Government,11:12
38D,Thoothukudi,Chennai,Non-AC,11:35
25C,Perambalur,Thanjavur,Non-AC,15:15
73B,Tiruppur,Thoothukudi,Express,02:37
64A,Sivakasi,Tirunelveli,AC,20:53
18D,Nagapattinam,Tiruppur,Express,21:19
54D,Tiruppur,Vellore,Private,04:28
84B,Salem,Cuddalore,Express,20:08
86B,Hosur,Erode,Non-AC,03:54
74D,Madurai,Pudukkottai,Private,09:16
12D,Vellore,Ramanathapuram,Express,03:18
85D,Thanjavur,Tiruvallur,Government,00:24
30B,Nagapattinam,Vellore,Non-AC,17:36
29A,Coimbatore,Thoothukudi,Government,15:30
36D,Nagercoil,Dindigul,Government,03:30
37B,Salem,Sivakasi,Government,11:35
21B,Krishnagiri,Hosur,AC,03:52
42D,Dharmapuri,Krishnagiri,Government,22:46
27A,Hosur,Thanjavur,Private,15:37
61C,Kanchipuram,Tiruvallur,Express,07:56
27C,Tirunelveli,Tiruchirappalli,Express,18:13
69D,Ariyalur,Nagercoil,Private,16:18
28D,Tiruvallur,Tiruvannamalai,Government,12:16
80D,Hosur,Krishnagiri,Private,06:32
50D,Thoothukudi,Namakkal,AC,14:33
86C,Tiruvannamalai,Tiruvallur,Express,06:52
95B,Nagercoil,Dindigul,Government,23:44
4A,Erode,Tiruvallur,Non-AC,05:12
43D,Dindigul,Vellore,Express,22:28
35A,Kanchipuram,Tiruchirappalli,Non-AC,18:01
80B,Ariyalur,Nagapattinam,Express,11:18
97B,Ramanathapuram,Nagapattinam,AC,12:07
76B,Karur,Krishnagiri,Express,13:49
16A,Pudukkottai,Nagapattinam,Express,06:00
3A,Ramanathapuram,Tiruppur,AC,11:22
91A,Ariyalur,Tiruppur,Private,18:56
34D,Dindigul,Vellore,Express,04:28
22D,Hosur,Salem,Government,08:32
34C,Namakkal,Coimbatore,Non-AC,08:41
43B,Nagercoil,Kanchipuram,Government,17:53
47B,Perambalur,Pudukkottai,Express,07:22
19D,Madurai,Perambalur,Express,20:08
26C,Dharmapuri,Ariyalur,Government,05:20
6D,Pudukkottai,Dindigul,AC,09:31
47A,Nagapattinam,Sivakasi,Government,19:02
45D,Coimbatore,Vellore,Government,13:00
5C,Tiruvallur,Perambalur,Non-AC,04:45
13A,Madurai,Karur,Express,22:55
1D,Thanjavur,Pudukkottai,Government,21:47
66A,Krishnagiri,Cuddalore,Private,01:30
96D,Krishnagiri,Thoothukudi,AC,12:30
81A,Namakkal,Nagercoil,AC,16:58
80C,Pudukkottai,Nagapattinam,AC,01:36
15D,Virudhunagar,Nagapattinam,Non-AC,15:11
85A,Tiruchirappalli,Dharmapuri,Express,09:25
93A,Cuddalore,Hosur,Private,11:56
60C,Thoothukudi,Ramanathapuram,AC,22:16
76A,Nagercoil,Nagapattinam,Express,20:15
44C,Dharmapuri,Cuddalore,AC,03:28
41D,Chennai,Ramanathapuram,Express,20:38
59B,Dindigul,Ramanathapuram,Non-AC,06:16
76B,Tiruchirappalli,Nagercoil,Express,17:13
16C,Vellore,Pudukkottai,AC,21:05
29B,Namakkal,Nagercoil,Private,07:35
15C,Pudukkottai,Cuddalore,Express,16:49
88C,Virudhunagar,Kanchipuram,Express,07:33
3B,Erode,Madurai,Private,05:08
37C,Ariyalur,Tiruvallur,Private,23:32
77C,Virudhunagar,Vellore,Express,04:32
85C,Namakkal,Virudhunagar,Government,09:47
92A,Nagapattinam,Tirunelveli,Government,10:18
54B,Hosur,Dharmapuri,Government,13:18
62B,Erode,Vellore,AC,06:03
5A,Coimbatore,Namakkal,Private,18:33
97B,Dharmapuri,Hosur,Express,16:53
37A,Salem,Coimbatore,Government,02:01
45D,Tiruvannamalai,Tirunelveli,Non-AC,14:43
95A,Coimbatore,Sivakasi,AC,20:08
92B,Salem,Sivakasi,Non-AC,19:16
23D,Tiruvannamalai,Sivakasi,Government,06:20
88D,Chennai,Tiruvallur,Private,21:54
24C,Nagapattinam,Vellore,AC,07:04
18B,Cuddalore,Coimbatore,Government,00:08
12A,Namakkal,Ramanathapuram,Express,05:33
97B,Thanjavur,Ramanathapuram,AC,08:21
21A,Kanchipuram,Coimbatore,Private,04:28
18C,Kanchipuram,Thoothukudi,AC,22:31
47D,Nagapattinam,Pudukkottai,Private,01:34
1A,Perambalur,Pudukkottai,Non-AC,15:09
92A,Dindigul,Hosur,Non-AC,01:35
87C,Hosur,Dharmapuri,Private,07:16
8A,Salem,Vellore,Government,11:52
9A,Ramanathapuram,Thanjavur,Non-AC,19:35
81B,Chennai,Tiruchirappalli,Private,11:01
50A,Tiruppur,Thanjavur,Government,18:03
1B,Ariyalur,Tiruvallur,AC,05:46
23D,Madurai,Nagercoil,Government,05:09
36B,Namakkal,Tiruvallur,Non-AC,17:35
62B,Tiruvallur,Cuddalore,Government,11:39
36D,Sivakasi,Coimbatore,Express,10:44
63C,Tirunelveli,Pudukkottai,Government,23:31
47A,Thanjavur,Nagercoil,AC,17:00
8C,Dindigul,Thanjavur,Non-AC,04:54
45D,Tiruvallur,Karur,Non-AC,23:13
29C,Ariyalur,Pudukkottai,Private,06:08
49D,Dindigul,Ramanathapuram,Express,01:19
51A,Krishnagiri,Dindigul,Private,11:50
36B,Thanjavur,Erode,Private,20:09
33A,Sivakasi,Dharmapuri,Express,06:46
90C,Virudhunagar,Ariyalur,Private,03:46
15A,Thoothukudi,Sivakasi,Express,13:10
16D,Salem,Chennai,Government,13:19
56C,Madurai,Thanjavur,Government,07:57
30C,Cuddalore,Hosur,Non-AC,14:17
40D,Dindigul,Tiruppur,Government,06:45
86B,Vellore,Madurai,Government,02:46
55C,Tiruchirappalli,Coimbatore,Private,14:09
69D,Tirunelveli,Thanjavur,Non-AC,12:48
66A,Sivakasi,Coimbatore,AC,05:36
30C,Tiruvallur,Ramanathapuram,Express,10:23
23A,Namakkal,Chennai,Non-AC,00:27
96D,Tiruvannamalai,Thanjavur,AC,14:23
37B,Nagercoil,Coimbatore,Government,20:13
9D,Sivakasi,Dharmapuri,Express,03:37
10A,Nagercoil,Pudukkottai,AC,08:11
9B,Nagapattinam,Perambalur,Government,16:32
1C,Thanjavur,Thoothukudi,Express,00:41
64A,Karur,Nagapattinam,Non-AC,23:48
88D,Chennai,Virudhunagar,Private,18:22
15C,Vellore,Coimbatore,AC,22:18
32A,Dindigul,Madurai,Government,00:07
40D,Madurai,Tiruppur,Express,20:21
62A,Thoothukudi,Pudukkottai,AC,21:10
47B,Tiruvannamalai,Tiruchirappalli,Non-AC,16:43
32C,Cuddalore,Thanjavur,AC,14:07
58A,Thoothukudi,Tiruvannamalai,Non-AC,09:50
8C,Perambalur,Madurai,Government,01:22
90A,Karur,Tiruchirappalli,Express,07:47
80C,Chennai,Ramanathapuram,Private,08:47
16D,Nagercoil,Kanchipuram,Non-AC,17:46
88B,Thanjavur,Dindigul,Private,10:27
34D,Thanjavur,Madurai,Express,09:33
80A,Tiruppur,Salem,Private,10:36
94C,Coimbatore,Tiruchirappalli,Non-AC,11:23
50B,Hosur,Tirunelveli,AC,13:22
4A,Dharmapuri,Virudhunagar,Government,15:01
64B,Tirunelveli,Chennai,Private,03:44
41A,Karur,Madurai,Express,11:56
95B,Sivakasi,Cuddalore,Non-AC,07:12
24C,Perambalur,Tiruvannamalai,Private,20:16
30C,Virudhunagar,Dindigul,AC,10:04
21C,Dharmapuri,Cuddalore,AC,06:29
18B,Cuddalore,Thanjavur,Non-AC,23:18
82D,Tiruchirappalli,Vellore,Express,11:53
63C,Cuddalore,Hosur,Non-AC,02:27
49D,Karur,Ramanathapuram,Non-AC,02:32
94A,Coimbatore,Sivakasi,Government,18:49
43C,Salem,Namakkal,Government,06:45
67A,Hosur,Krishnagiri,AC,05:04
85C,Nagercoil,Namakkal,Government,23:34
7C,Cuddalore,Chennai,Government,05:05
42B,Pudukkottai,Thanjavur,Government,16:10
21B,Tiruvannamalai,Nagercoil,AC,07:08
62A,Chennai,Vellore,Government,02:21
19A,Thanjavur,Vellore,Express,12:23
32B,Ariyalur,Coimbatore,Government,13:23
88C,Nagercoil,Tiruvannamalai,Government,21:08
30A,Tiruppur,Hosur,AC,01:49
64C,Tiruppur,Thanjavur,Government,17:17
50A,Thoothukudi,Namakkal,Express,17:12
92D,Madurai,Dharmapuri,Express,10:08
95A,Tiruvannamalai,Cuddalore,Private,16:36
69D,Tiruppur,Erode,Express,09:53
98D,Madurai,Sivakasi,Express,21:04
42A,Sivakasi,Nagapattinam,Non-AC,05:50
27B,Karur,Tiruppur,Express,06:27
25A,Tiruvannamalai,Krishnagiri,Private,09:52
20D,Nagapattinam,Salem,Private,23:05
2B,Thoothukudi,Ramanathapuram,Non-AC,06:01
45D,Namakkal,Virudhunagar,Non-AC,20:52
50B,Coimbatore,Krishnagiri,Government,02:09
29B,Sivakasi,Perambalur,Government,17:20
52B,Tiruvannamalai,Namakkal,AC,01:23
32D,Madurai,Thoothukudi,AC,01:34
56B,Ariyalur,Tirunelveli,Express,22:54
13B,Tiruchirappalli,Vellore,Non-AC,22:15
78D,Sivakasi,Thanjavur,Private,19:37
42A,Nagapattinam,Madurai,AC,08:52
15D,Cuddalore,Dharmapuri,Non-AC,01:53
48B,Madurai,Dharmapuri,Express,02:22
92B,Kanchipuram,Virudhunagar,Non-AC,23:48
10D,Tiruchirappalli,Kanchipuram,Private,09:44
73A,Ariyalur,Virudhunagar,Express,17:45
16B,Pudukkottai,Coimbatore,AC,03:31
14B,Hosur,Ariyalur,Government,14:08
78B,Virudhunagar,Vellore,Non-AC,19:14
31D,Tiruvannamalai,Sivakasi,Non-AC,05:18
13A,Sivakasi,Hosur,Non-AC,06:00
13A,Tiruppur,Coimbatore,Non-AC,20:45
30D,Nagercoil,Vellore,Government,15:31
91D,Cuddalore,Tiruppur,Non-AC,14:54
84B,Ariyalur,Dharmapuri,AC,15:07
63C,Kanchipuram,Tiruppur,Government,20:15
80C,Tiruvallur,Madurai,AC,15:33
26B,Tirunelveli,Sivakasi,Non-AC,12:08
93C,Sivakasi,Perambalur,Private,04:40
29C,Ariyalur,Salem,AC,10:18
94D,Madurai,Vellore,Express,13:32
4A,Sivakasi,Dindigul,Government,12:42
65B,Thoothukudi,Chennai,Government,06:01
65D,Thoothukudi,Karur,Private,15:32
41D,Pudukkottai,Virudhunagar,Private,11:21
26B,Ramanathapuram,Coimbatore,Private,15:33
44B,Thanjavur,Sivakasi,Government,05:57
62C,Virudhunagar,Perambalur,Express,17:58
86A,Perambalur,Krishnagiri,AC,04:25
48C,Tiruppur,Kanchipuram,Express,10:52
60D,Madurai,Thoothukudi,Government,06:56
76D,Virudhunagar,Karur,AC,14:57
81D,Pudukkottai,Krishnagiri,Government,02:04
2B,Chennai,Madurai,Express,23:13
3C,Perambalur,Ramanathapuram,AC,04:01
56B,Madurai,Chennai,Non-AC,17:52
26D,Karur,Hosur,Government,09:45
13D,Ariyalur,Madurai,Express,00:14
47B,Tirunelveli,Virudhunagar,Private,10:49
39A,Coimbatore,Karur,Non-AC,18:18
41C,Ramanathapuram,Namakkal,Express,13:05
86D,Tiruvannamalai,Coimbatore,Private,15:12
40D,Thoothukudi,Dindigul,AC,03:13
8B,Tirunelveli,Ramanathapuram,Non-AC,14:40
83D,Coimbatore,Dindigul,Government,13:10
89B,Kanchipuram,Pudukkottai,Private,13:32
52A,Ariyalur,Tiruchirappalli,Private,14:06
86D,Vellore,Cuddalore,Express,19:17
32C,Thoothukudi,Tiruchirappalli,Government,09:56
90A,Thoothukudi,Chennai,Express,22:52
20D,Virudhunagar,Thanjavur,Private,14:23
89C,Tiruppur,Tirunelveli,Non-AC,03:20
93A,Dindigul,Dharmapuri,Non-AC,06:11
4D,Virudhunagar,Tiruvallur,AC,21:09
54B,Ariyalur,Hosur,Private,01:02
53C,Coimbatore,Salem,Government,02:13
64C,Cuddalore,Tiruchirappalli,Government,10:15
21C,Hosur,Dharmapuri,Express,09:39
18D,Thoothukudi,Dharmapuri,AC,13:29
56B,Hosur,Namakkal,Private,08:13
90C,Tiruppur,Tirunelveli,AC,08:41
47A,Cuddalore,Ariyalur,Government,20:39
33D,Nagapattinam,Cuddalore,Express,04:48
2B,Dharmapuri,Sivakasi,Express,14:31
41A,Tiruchirappalli,Namakkal,Government,09:58
44B,Tiruppur,Dharmapuri,Non-AC,05:48
31C,Pudukkottai,Ariyalur,Non-AC,02:55
57A,Karur,Dindigul,Private,10:05
83A,Coimbatore,Tiruvannamalai,AC,12:56
25D,Namakkal,Cuddalore,Non-AC,20:47
2C,Dharmapuri,Nagapattinam,Private,16:56
36D,Erode,Chennai,Government,01:09
67A,Dindigul,Pudukkottai,Government,08:37
2A,Ramanathapuram,Tiruppur,Government,16:04
93D,Hosur,Ariyalur,Non-AC,13:39
20D,Ariyalur,Erode,Express,19:22
7A,Thoothukudi,Vellore,Private,03:34
79A,Vellore,Salem,Government,02:43
74D,Tirunelveli,Chennai,AC,13:26
13C,Tirunelveli,Virudhunagar,Express,10:28
54B,Ramanathapuram,Erode,Express,12:47
24A,Namakkal,Nagercoil,AC,08:18
93D,Ariyalur,Karur,AC,05:28
38D,Ariyalur,Tiruppur,Government,08:08
43A,Tirunelveli,Hosur,Non-AC,13:38
52C,Dharmapuri,Tirunelveli,Express,06:46
70A,Erode,Thoothukudi,Non-AC,20:38
67D,Kanchipuram,Namakkal,Express,05:39
39B,Nagercoil,Ariyalur,Express,06:53
8C,Cuddalore,Virudhunagar,Private,08:11
63A,Karur,Sivakasi,Non-AC,13:19
13D,Dharmapuri,Tiruchirappalli,AC,01:18
11C,Dharmapuri,Sivakasi,Express,16:49
59A,Cuddalore,Tiruvallur,Express,09:27
36C,Kanchipuram,Krishnagiri,Non-AC,18:25
37C,Tiruvannamalai,Dharmapuri,Express,02:35
18C,Hosur,Tiruvallur,Non-AC,05:51
43C,Tiruchirappalli,Dharmapuri,Non-AC,19:21
99C,Namakkal,Cuddalore,Private,23:09
52D,Nagercoil,Nagapattinam,Express,08:38
4A,Tiruchirappalli,Salem,AC,00:40
61C,Kanchipuram,Pudukkottai,Government,13:02
99A,Tiruchirappalli,Pudukkottai,AC,04:27
46D,Nagercoil,Madurai,AC,06:51
21C,Vellore,Coimbatore,AC,17:14
79B,Nagercoil,Karur,Government,04:57
44D,Ariyalur,Tiruchirappalli,AC,07:46
25A,Madurai,Sivakasi,Non-AC,06:46
60D,Dharmapuri,Dindigul,Non-AC,10:14
1C,Krishnagiri,Cuddalore,AC,05:31
86C,Kanchipuram,Cuddalore,Private,13:13
18D,Madurai,Chennai,Non-AC,20:33
54D,Sivakasi,Perambalur,AC,18:57
35C,Thoothukudi,Dharmapuri,Non-AC,23:43
72A,Karur,Coimbatore,Express,08:09
90B,Coimbatore,Erode,Non-AC,03:25
80D,Nagercoil,Salem,Express,02:01
93D,Tiruppur,Chennai,AC,18:20
